,gameId,blueWins,wardsPlaced,wardsDestroyed,kills,deaths,assists,eliteMonsters,dragonsTaken,heraldsTaken,towersLost,totalGold,avgLevel,totalExperience,totalMinionsKilled,totalJungleMinionsKilled,goldDiff,experienceDiff,csPerMin,goldPerMin,losingTeamWardsPlaced,losingTeamWardsDestroyed,losingTeamFirstBlood,redKills,redDeaths,losingTeamAssits,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalMinionsKilled,losingTeamTotalJungleMinionsKilled,redGoldDiff,redExperienceDiff,redCSPerMin,losingTeamGoldPerMin,blueKills,blueDeaths,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,redFirstBlood,teamWon
5,4475365709,1,18,0,5,3,6,1,1,0,0,15899,7.0,18161,225,42,698,101,22.5,1589.9,36,5,1.0,3.0,5.0,2,0.0,0.0,0.0,0.0,15201.0,7.0,18060.0,221.0,59,-698.0,-101.0,22.1,1520.1,,,,,,,,,,,,,,,blue
6,4493010632,1,18,3,7,6,7,1,1,0,0,16874,6.8,16967,225,53,2411,1563,22.5,1687.4,57,1,0.0,6.0,7.0,9,0.0,0.0,0.0,0.0,14463.0,6.4,15404.0,164.0,35,-2411.0,-1563.0,16.4,1446.3,,,,,,,,,,,,,,,blue
9,4509433346,1,13,1,4,5,5,1,1,0,0,15057,6.8,16805,220,39,-1548,-1574,22.0,1505.7,16,2,0.0,5.0,4.0,4,0.0,0.0,0.0,0.0,16605.0,6.8,18379.0,247.0,43,1548.0,1574.0,24.7,1660.5,,,,,,,,,,,,,,,blue
12,4515594785,1,18,1,7,1,11,1,1,0,0,17865,7.4,19102,238,53,3274,1659,23.8,1786.5,12,1,0.0,1.0,7.0,1,0.0,0.0,0.0,0.0,14591.0,6.8,17443.0,240.0,50,-3274.0,-1659.0,24.0,1459.1,,,,,,,,,,,,,,,blue
14,4516505202,1,15,3,4,4,4,0,0,0,0,15722,6.8,17896,224,51,-470,-187,22.4,1572.2,102,1,0.0,4.0,4.0,3,0.0,0.0,0.0,0.0,16192.0,7.0,18083.0,242.0,48,470.0,187.0,24.2,1619.2,,,,,,,,,,,,,,,blue
16,4523758462,1,14,1,10,2,8,0,0,0,0,19733,7.6,20862,263,56,5228,3378,26.3,1973.3,13,2,0.0,2.0,10.0,2,1.0,1.0,0.0,0.0,14505.0,6.8,17484.0,210.0,64,-5228.0,-3378.0,21.0,1450.5,,,,,,,,,,,,,,,blue
18,4486384947,1,21,4,5,4,11,0,0,0,0,16282,6.8,17378,213,49,882,512,21.3,1628.2,19,3,0.0,4.0,5.0,3,2.0,1.0,1.0,0.0,15400.0,6.6,16866.0,228.0,52,-882.0,-512.0,22.8,1540.0,,,,,,,,,,,,,,,blue
20,4472164226,1,14,3,11,6,15,1,1,0,0,18606,7.2,19254,214,45,2526,1625,21.4,1860.6,12,2,0.0,6.0,11.0,4,0.0,0.0,0.0,0.0,16080.0,7.0,17629.0,225.0,48,-2526.0,-1625.0,22.5,1608.0,,,,,,,,,,,,,,,blue
24,4522124566,1,33,3,6,9,10,0,0,0,0,16515,6.8,17223,208,45,-1020,493,20.8,1651.5,18,3,1.0,9.0,6.0,13,0.0,0.0,0.0,0.0,17535.0,6.6,16730.0,197.0,36,1020.0,-493.0,19.7,1753.5,,,,,,,,,,,,,,,blue
26,4507834811,1,18,1,8,6,9,1,1,0,0,17178,7.0,17854,209,44,1260,-55,20.9,1717.8,10,3,1.0,6.0,8.0,3,0.0,0.0,0.0,0.0,15918.0,6.8,17909.0,233.0,36,-1260.0,55.0,23.3,1591.8,,,,,,,,,,,,,,,blue
30,4466931235,1,22,7,9,4,10,1,1,0,0,18132,7.0,18076,228,40,2883,2111,22.8,1813.2,21,4,0.0,4.0,9.0,2,0.0,0.0,0.0,0.0,15249.0,6.2,15965.0,227.0,36,-2883.0,-2111.0,22.7,1524.9,,,,,,,,,,,,,,,blue
31,4524189570,1,17,4,5,2,6,2,1,1,0,16053,6.8,17406,218,51,1703,1696,21.8,1605.3,15,2,0.0,2.0,5.0,2,0.0,0.0,0.0,0.0,14350.0,6.4,15710.0,206.0,48,-1703.0,-1696.0,20.6,1435.0,,,,,,,,,,,,,,,blue
34,4509242024,1,40,2,6,4,4,0,0,0,0,16085,7.4,19076,204,56,275,872,20.4,1608.5,15,1,1.0,4.0,6.0,5,1.0,1.0,0.0,0.0,15810.0,7.2,18204.0,223.0,62,-275.0,-872.0,22.3,1581.0,,,,,,,,,,,,,,,blue
41,4459778854,1,36,1,10,6,12,0,0,0,0,19226,7.4,20118,231,44,3004,2300,23.1,1922.6,16,2,1.0,6.0,10.0,7,0.0,0.0,0.0,0.0,16222.0,7.0,17818.0,185.0,39,-3004.0,-2300.0,18.5,1622.2,,,,,,,,,,,,,,,blue
42,4499523222,1,18,3,9,6,14,1,1,0,0,16945,6.8,17806,204,36,1574,761,20.4,1694.5,17,2,1.0,6.0,9.0,6,0.0,0.0,0.0,0.0,15371.0,6.8,17045.0,194.0,54,-1574.0,-761.0,19.4,1537.1,,,,,,,,,,,,,,,blue
43,4477029310,1,12,2,5,5,3,0,0,0,0,15000,6.6,16493,233,16,-1036,-1423,23.3,1500.0,19,1,0.0,5.0,5.0,4,0.0,0.0,0.0,0.0,16036.0,7.0,17916.0,221.0,44,1036.0,1423.0,22.1,1603.6,,,,,,,,,,,,,,,blue
46,4505664040,1,14,4,11,2,9,0,0,0,0,19250,7.6,19703,251,48,5096,3310,25.1,1925.0,15,3,0.0,2.0,11.0,2,0.0,0.0,0.0,0.0,14154.0,6.4,16393.0,196.0,53,-5096.0,-3310.0,19.6,1415.4,,,,,,,,,,,,,,,blue
47,4439587692,1,19,1,8,4,5,1,1,0,1,18355,7.0,18790,218,54,2756,1683,21.8,1835.5,13,5,0.0,4.0,8.0,5,0.0,0.0,0.0,0.0,15599.0,6.8,17107.0,200.0,57,-2756.0,-1683.0,20.0,1559.9,,,,,,,,,,,,,,,blue
48,4508000311,1,15,2,2,3,2,1,0,1,0,13978,6.6,16429,180,44,-977,-1025,18.0,1397.8,12,4,1.0,3.0,2.0,1,0.0,0.0,0.0,0.0,14955.0,6.8,17454.0,218.0,56,977.0,1025.0,21.8,1495.5,,,,,,,,,,,,,,,blue
51,4438138890,1,18,0,6,8,6,0,0,0,0,16590,7.0,18284,213,49,544,75,21.3,1659.0,12,1,1.0,8.0,6.0,7,0.0,0.0,0.0,0.0,16046.0,7.0,18209.0,182.0,44,-544.0,-75.0,18.2,1604.6,,,,,,,,,,,,,,,blue
52,4467008289,1,22,4,5,2,2,2,1,1,0,15737,7.0,18634,217,53,1381,1017,21.7,1573.7,16,3,0.0,2.0,5.0,1,0.0,0.0,0.0,0.0,14356.0,7.0,17617.0,212.0,60,-1381.0,-1017.0,21.2,1435.6,,,,,,,,,,,,,,,blue
53,4492625917,1,37,2,5,3,5,0,0,0,0,16990,7.4,19634,248,54,2031,1449,24.8,1699.0,15,1,0.0,3.0,5.0,5,1.0,1.0,0.0,0.0,14959.0,7.0,18185.0,210.0,68,-2031.0,-1449.0,21.0,1495.9,,,,,,,,,,,,,,,blue
57,4521277262,1,19,3,10,6,11,1,1,0,0,17777,7.2,18131,213,42,1201,316,21.3,1777.7,18,4,0.0,6.0,10.0,5,0.0,0.0,0.0,0.0,16576.0,6.8,17815.0,234.0,44,-1201.0,-316.0,23.4,1657.6,,,,,,,,,,,,,,,blue
58,4521752962,1,29,3,7,5,5,2,1,1,0,16426,7.0,18407,222,55,-108,59,22.2,1642.6,14,4,0.0,5.0,7.0,4,0.0,0.0,0.0,0.0,16534.0,6.8,18348.0,247.0,44,108.0,-59.0,24.7,1653.4,,,,,,,,,,,,,,,blue
62,4510728488,1,18,2,6,4,4,1,1,0,0,17277,7.2,19610,229,54,1687,1089,22.9,1727.7,36,3,0.0,4.0,6.0,5,1.0,0.0,1.0,0.0,15590.0,7.2,18521.0,232.0,56,-1687.0,-1089.0,23.2,1559.0,,,,,,,,,,,,,,,blue
